2011 National Household Survey Data on the Annual Earnings and Employment of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,LABOUR_FORCE_ACTIVITY,LABOUR_FORCE_ACTIVITY_CODE,WORK_ACTIVITY,WORK_ACTIVITY_CODE,TOTAL_EMPLOYMENT,WITHOUT_EMPLOYMENT,WITH_EMPLOYMENT,QUARTILE_1,QUARTILE_2,QUARTILE_3,AVERAGE_HOURS_WORKED
Registered apprenticeship certificate,LOS031,5 years,YSG05,Health professions and related clinical sciences,FOS117,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,865.0,40.0,820.0,23273.5,32383.0,45290.8,34.4
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,805.0,0.0,780.0,31163.7,44283.7,71419.9,45.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,Health Aides/Attendants/Orderlies,FOS1175,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,735.0,35.0,695.0,22763.6,30156.6,40751.4,35.1
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Construction trades, general",FOS1101,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,715.0,20.0,690.0,39063.3,57984.3,90273.3,43.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,615.0,0.0,615.0,26635.9,42365.5,71651.1,47.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,Other computer and information sciences and support services,FOS1023,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,535.0,20.0,520.0,38397.2,49443.8,62952.3,39.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,Woodworking,FOS1123,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,520.0,20.0,495.0,24079.0,41257.0,63360.9,41.5
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Architecture, engineering and related technologies",FOS104,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,475.0,15.0,460.0,35691.5,46221.9,57982.2,39.7
Registered apprenticeship certificate,LOS031,5 years,YSG05,Social work and protective services/professions,FOS107,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,430.0,0.0,430.0,53554.6,72434.4,84948.5,43.6
Registered apprenticeship certificate,LOS031,5 years,YSG05,Security and protective services,FOS1060,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,415.0,0.0,410.0,55571.0,72822.9,85208.2,43.4
Registered apprenticeship certificate,LOS031,5 years,YSG05,Precision Systems Maintenance and Repair Technologies,FOS1115,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,415.0,0.0,405.0,47559.4,61914.6,78687.2,41.9
Registered apprenticeship certificate,LOS031,5 years,YSG05,Stationary Energy Sources Installer and Operator,FOS1116,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,415.0,0.0,405.0,59928.8,73336.0,106899.2,43.2
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Design, music, performing, fine and applied arts",FOS114,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,380.0,0.0,370.0,31685.2,42275.8,66885.8,38.9
Registered apprenticeship certificate,LOS031,5 years,YSG05,Audiovisual and Graphic Communications Technology/Technician,FOS1145,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,330.0,0.0,320.0,31685.2,47848.7,76668.8,39.6
Registered apprenticeship certificate,LOS031,5 years,YSG05,Mechanical Engineering Related Technologies/Technicians,FOS1043,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,315.0,0.0,305.0,35881.5,48444.1,57109.1,41.1
Registered apprenticeship certificate,LOS031,5 years,YSG05,Masonry/Mason,FOS1102,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,250.0,20.0,225.0,26484.9,49015.2,59854.9,41.8
Registered apprenticeship certificate,LOS031,5 years,YSG05,Electrical/Electronics Maintenance and Repair Technology,FOS1112,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,210.0,0.0,190.0,0.0,55811.7,0.0,41.2
Registered apprenticeship certificate,LOS031,5 years,YSG05,Forestry,FOS1013,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,185.0,0.0,170.0,0.0,47634.4,0.0,39.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Human development, family studies and related services",FOS1151,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,185.0,0.0,185.0,0.0,22454.3,0.0,29.9
Registered apprenticeship certificate,LOS031,5 years,YSG05,Air Transportation,FOS1134,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,175.0,0.0,170.0,0.0,66956.5,0.0,38.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Drafting, architecture, surveying and mapping technologies/technician",FOS1046,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,165.0,0.0,155.0,0.0,44437.8,0.0,37.0
